Transaction ID	Type	Posting	Currency	Item Name	Debit Amount	Debit Account	Credit Amount	Credit Account
140514	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1672.64	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
140514	workordercompletion	true	Unknown	Man hour cost DK	1672.64	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99628	workorderissue	true	Unknown	RFVR200	0.00	N/A	6015.60	83100 TOTAL INVENTORIES : Inventory increase
99628	workorderissue	true	Unknown	RFVR200	6015.60	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99794	workorderissue	true	Unknown	RAVB20004000-30	0.00	N/A	2224.93	83100 TOTAL INVENTORIES : Inventory increase
99794	workorderissue	true	Unknown	RAVB20004000-30	2224.93	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
140775	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1287.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
140775	workordercompletion	true	Unknown	Man hour cost DK	1287.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99806	workorderissue	true	Unknown	RAVB20004000-30	0.00	N/A	741.64	83100 TOTAL INVENTORIES : Inventory increase
99806	workorderissue	true	Unknown	RAVB20004000-30	741.64	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99908	workorderissue	true	Unknown	RAVB20004000-10	0.00	N/A	2544.86	83100 TOTAL INVENTORIES : Inventory increase
99908	workorderissue	true	Unknown	RAVB20004000-10	2544.86	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
140981	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1206.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
140981	workordercompletion	true	Unknown	Man hour cost DK	1206.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141084	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	2175.00	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141084	workordercompletion	true	Unknown	Man hour cost DK	2175.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141096	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	706.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141096	workordercompletion	true	Unknown	Man hour cost DK	706.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141143	workordercompletion	true	Unknown	001-042-327	4530.28	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
141143	workordercompletion	true	Unknown	001-042-327	0.00	N/A	4530.28	83250 TOTAL INVENTORIES : Products being manufactured
141143	workordercompletion	true	Unknown	Man hour cost DK CNC	0.00	N/A	779.17	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141143	workordercompletion	true	Unknown	Man hour cost DK CNC	779.17	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141189	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	2381.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141189	workordercompletion	true	Unknown	Man hour cost DK	2381.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141187	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	2443.75	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141187	workordercompletion	true	Unknown	Man hour cost DK	2443.75	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141300	workordercompletion	true	Unknown	Man hour cost DK CNC	0.00	N/A	2280.83	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141300	workordercompletion	true	Unknown	Man hour cost DK CNC	2280.83	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141301	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	562.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141301	workordercompletion	true	Unknown	Man hour cost DK	562.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
64616	workorderclose	true	Unknown	001-042-327	4530.28	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
64616	workorderclose	true	Unknown	RAVB20004000-10	0.00	N/A	2544.86	83250 TOTAL INVENTORIES : Products being manufactured
64616	workorderclose	true	Unknown	Man hour cost DK	0.00	N/A	1206.25	83250 TOTAL INVENTORIES : Products being manufactured
64616	workorderclose	true	Unknown	Man hour cost DK CNC	0.00	N/A	779.17	83250 TOTAL INVENTORIES : Products being manufactured
141368	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1731.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141368	workordercompletion	true	Unknown	Man hour cost DK	1731.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141434	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	2087.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141434	workordercompletion	true	Unknown	Man hour cost DK	2087.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141452	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	6.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141452	workordercompletion	true	Unknown	Man hour cost DK	6.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100224	workorderissue	true	Unknown	ISO 4017-M16x80 A2	0.00	N/A	158.20	83100 TOTAL INVENTORIES : Inventory increase
100224	workorderissue	true	Unknown	ISO 4017-M16x80 A2	158.20	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100224	workorderissue	true	Unknown	ISO 4762-M16x45 A2	0.00	N/A	92.22	83100 TOTAL INVENTORIES : Inventory increase
100224	workorderissue	true	Unknown	ISO 4762-M16x45 A2	92.22	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100224	workorderissue	true	Unknown	LCC0017	0.00	N/A	56608.00	83100 TOTAL INVENTORIES : Inventory increase
100224	workorderissue	true	Unknown	LCC0017	56608.00	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100224	workorderissue	true	Unknown	ISO 4032-M16 A2	0.00	N/A	34.66	83100 TOTAL INVENTORIES : Inventory increase
100224	workorderissue	true	Unknown	ISO 4032-M16 A2	34.66	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100224	workorderissue	true	Unknown	001-042-327	0.00	N/A	4530.28	83100 TOTAL INVENTORIES : Inventory increase
100224	workorderissue	true	Unknown	001-042-327	4530.28	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100224	workorderissue	true	Unknown	ISO 7090-M16 A2	0.00	N/A	34.79	83100 TOTAL INVENTORIES : Inventory increase
100224	workorderissue	true	Unknown	ISO 7090-M16 A2	34.79	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141552	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	206.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141552	workordercompletion	true	Unknown	Man hour cost DK	206.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141640	workordercompletion	true	Unknown	125-011-087	10578.23	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
141640	workordercompletion	true	Unknown	125-011-087	0.00	N/A	10578.23	83250 TOTAL INVENTORIES : Products being manufactured
141640	workordercompletion	true	Unknown	Man hour cost DK CNC	0.00	N/A	304.58	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141640	workordercompletion	true	Unknown	Man hour cost DK CNC	304.58	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141635	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	512.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141635	workordercompletion	true	Unknown	Man hour cost DK	512.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100324	workorderissue	true	Unknown	RAVB20004000-50	0.00	N/A	5505.74	83100 TOTAL INVENTORIES : Inventory increase
100324	workorderissue	true	Unknown	RAVB20004000-50	5505.74	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141636	workordercompletion	true	Unknown	125-011-078	12930.74	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
141636	workordercompletion	true	Unknown	125-011-078	0.00	N/A	12930.74	83250 TOTAL INVENTORIES : Products being manufactured
141636	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	268.75	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141636	workordercompletion	true	Unknown	Man hour cost DK	268.75	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141638	workordercompletion	true	Unknown	125-011-076	7672.82	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
141638	workordercompletion	true	Unknown	125-011-076	0.00	N/A	7672.82	83250 TOTAL INVENTORIES : Products being manufactured
141638	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	268.75	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141638	workordercompletion	true	Unknown	Man hour cost DK	268.75	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141639	workordercompletion	true	Unknown	Man hour cost DK CNC	0.00	N/A	304.58	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141639	workordercompletion	true	Unknown	Man hour cost DK CNC	304.58	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
100325	workorderissue	true	Unknown	2920201512	0.00	N/A	6287.74	83100 TOTAL INVENTORIES : Inventory increase
100325	workorderissue	true	Unknown	2920201512	6287.74	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
141645	workordercompletion	true	Unknown	125-011-079	9100.24	83100 TOTAL INVENTORIES : Inventory increase	0.00	N/A
141645	workordercompletion	true	Unknown	125-011-079	0.00	N/A	9100.24	83250 TOTAL INVENTORIES : Products being manufactured
141645	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	268.75	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
141645	workordercompletion	true	Unknown	Man hour cost DK	268.75	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
